Fecha,Precipitacion (mm),Temperatura (C)
2017-10-25 21:00:00,0.0,17.0
2017-10-25 21:10:00,0.0,16.9
2017-10-25 21:20:00,0.0,16.8
2017-10-25 21:30:00,0.0,16.8
2017-10-25 21:40:00,0.0,16.8
2017-10-25 21:50:00,0.0,16.7
2017-10-25 22:00:00,0.0,16.8
2017-10-25 22:10:00,0.0,16.9
2017-10-25 22:20:00,0.0,16.9
2017-10-25 22:30:00,0.0,16.8
2017-10-25 22:40:00,0.0,16.8
2017-10-25 22:50:00,0.0,16.9
2017-10-25 23:00:00,0.0,16.9
2017-10-25 23:10:00,0.0,17.0
2017-10-25 23:20:00,0.0,17.0
2017-10-25 23:30:00,0.0,17.0
2017-10-25 23:40:00,0.0,16.9
2017-10-25 23:50:00,0.0,16.9
2017-10-26 00:00:00,0.0,16.9
2017-10-26 00:10:00,0.0,16.8
2017-10-26 00:20:00,0.0,16.8
2017-10-26 00:30:00,0.0,16.7
2017-10-26 00:40:00,0.0,16.5
2017-10-26 00:50:00,0.0,16.4
2017-10-26 01:00:00,0.0,16.4
2017-10-26 01:10:00,0.0,16.2
2017-10-26 01:20:00,0.0,15.9
2017-10-26 01:30:00,0.0,15.7
2017-10-26 01:40:00,0.0,15.5
2017-10-26 01:50:00,0.0,15.4
2017-10-26 02:00:00,0.0,15.4
2017-10-26 02:10:00,0.0,15.4
2017-10-26 02:20:00,0.0,15.4
2017-10-26 02:30:00,0.0,15.4
2017-10-26 02:40:00,0.0,15.2
2017-10-26 02:50:00,0.0,15.2
2017-10-26 03:00:00,0.0,15.2
2017-10-26 03:10:00,0.0,15.2
2017-10-26 03:20:00,0.0,15.1
2017-10-26 03:30:00,0.0,15.0
2017-10-26 03:40:00,0.0,14.9
2017-10-26 03:50:00,0.0,14.8
2017-10-26 04:00:00,0.0,14.7
2017-10-26 04:10:00,0.0,14.6
2017-10-26 04:20:00,0.0,14.6
2017-10-26 04:30:00,0.0,14.7
2017-10-26 04:40:00,0.0,14.7
2017-10-26 04:50:00,0.0,14.7
2017-10-26 05:00:00,0.0,14.7
2017-10-26 05:10:00,0.0,14.7
2017-10-26 05:20:00,0.0,14.7
2017-10-26 05:30:00,0.0,14.7
2017-10-26 05:40:00,0.0,14.6
2017-10-26 05:50:00,0.0,14.6
2017-10-26 06:00:00,0.0,14.5
2017-10-26 06:10:00,0.0,14.5
2017-10-26 06:20:00,0.0,14.6
2017-10-26 06:30:00,0.0,14.7
2017-10-26 06:40:00,0.0,14.7
2017-10-26 06:50:00,0.0,14.7
2017-10-26 07:00:00,0.0,14.9
2017-10-26 07:10:00,0.0,14.8
2017-10-26 07:20:00,0.0,14.8
2017-10-26 07:30:00,0.0,14.8
2017-10-26 07:40:00,0.0,14.9
2017-10-26 07:50:00,0.0,15.0
2017-10-26 08:00:00,0.0,14.9
2017-10-26 08:10:00,0.0,14.9
2017-10-26 08:20:00,0.0,14.9
2017-10-26 08:30:00,0.0,15.0
2017-10-26 08:40:00,0.0,15.1
2017-10-26 08:50:00,0.0,15.3
2017-10-26 09:00:00,0.0,15.5
2017-10-26 09:10:00,0.0,15.7
2017-10-26 09:20:00,0.0,16.0
2017-10-26 09:30:00,0.0,16.2
2017-10-26 09:40:00,0.0,16.6
2017-10-26 09:50:00,0.0,16.9
